OBJECTID,SiteID,DamageID1,ConfidenceID,SensorDate,SensorID,Settlement_Name,DamageCause,DatePeriod,CountyID,Shape_Length,Shape_Area,Lat,Long,DatePeriodStart,DatePeriodEnd,Start Dt,End Dt,Radius (m)
346,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Artillery (Mortar / Howitzer),Before 31OCT13,760,0.000751033,4.49E-08,36.17976946,37.12540742,1/1/01,10/31/13,-4686,0,14.74053697
347,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001227078,1.20E-07,36.17571275,37.12543958,1/1/01,10/31/13,-4686,0,24.08323057
348,Building (General / Default),Destroyed (bld),Medium,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.000876926,6.12E-08,36.18159397,37.12740869,1/1/01,10/31/13,-4686,0,17.21163863
349,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.001019031,8.26E-08,36.17700705,37.12709386,1/1/01,10/31/13,-4686,0,20.00018281
350,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000753875,4.52E-08,36.1794678,37.12376374,1/1/01,10/31/13,-4686,0,14.79628463
351,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.001051565,8.80E-08,36.17479427,37.12853851,1/1/01,10/31/13,-4686,0,20.63839131
352,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001139308,1.03E-07,36.19112238,37.12920373,1/1/01,10/31/13,-4686,0,22.36284093
353,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.0010361,8.54E-08,36.18671075,37.12841609,1/1/01,10/31/13,-4686,0,20.33643263
354,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001014359,8.19E-08,36.18426076,37.12439941,1/1/01,10/31/13,-4686,0,19.90941848
355,Building (General / Default),Destroyed (bld),Medium,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000762899,4.63E-08,36.19588873,37.12793807,1/1/01,10/31/13,-4686,0,14.97497766
356,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001527371,1.86E-07,36.18052453,37.13339862,1/31/14,2/6/14,92,98,29.98193918
357,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.000796578,5.05E-08,36.18716156,37.13021084,1/1/01,10/31/13,-4686,0,15.63519899
358,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.001187725,1.12E-07,36.18613962,37.12901348,1/1/01,10/31/13,-4686,0,23.31243365
359,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.00081227,5.25E-08,36.18029888,37.13262877,1/1/01,10/31/13,-4686,0,15.9424844
360,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000895214,6.38E-08,36.18290865,37.13000412,1/1/01,10/31/13,-4686,0,17.5707245
361,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001454517,1.68E-07,36.17443771,37.12994991,1/1/01,10/31/13,-4686,0,28.54682161
362,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.001129993,1.02E-07,36.17145517,37.12959394,1/1/01,10/31/13,-4686,0,22.17717227
363,Building (General / Default),Destroyed (bld),Very High,1/31/2014,Pleadies 1A/B,Aleppo,Unknown / Uncertain,31OCT13-31JAN14,760,0.000897078,6.40E-08,36.16966076,37.13048299,10/31/13,1/31/14,0,92,17.60580677
364,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001355344,1.46E-07,36.16919983,37.13076364,1/1/01,10/31/13,-4686,0,26.5995497
365,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.000900778,6.46E-08,36.17044589,37.13439153,1/1/01,10/31/13,-4686,0,17.67851829
366,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000694087,3.83E-08,36.17151418,37.13917264,1/1/01,10/31/13,-4686,0,13.62213493
367,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000774675,4.78E-08,36.172641,37.13569814,1/1/01,10/31/13,-4686,0,15.20385755
368,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001115167,9.90E-08,36.17585951,37.13761666,1/31/14,2/6/14,92,98,21.88684797
369,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.000856407,5.84E-08,36.176992,37.13760216,1/31/14,2/6/14,92,98,16.808419
370,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001207445,1.16E-07,36.18240053,37.13502866,1/31/14,2/6/14,92,98,23.69891721
371,Mosque,Severe Damage (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000697658,3.87E-08,36.19406414,37.13191694,1/1/01,10/31/13,-4686,0,13.69419567
372,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001309857,1.37E-07,36.17106896,37.14050983,1/31/14,2/6/14,92,98,25.70711678
373,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001199333,1.14E-07,36.1788747,37.14591089,1/31/14,2/6/14,92,98,23.53914956
374,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001061974,8.97E-08,36.17916648,37.14458021,1/31/14,2/6/14,92,98,20.8432736
375,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.000954712,7.25E-08,36.1791739,37.14406516,1/31/14,2/6/14,92,98,18.73806078
376,Building (General / Default),Destroyed (bld),Very High,1/31/2014,Pleadies 1A/B,Aleppo,Unknown / Uncertain,31OCT13-31JAN14,760,0.000839664,5.61E-08,36.16284066,37.15142715,10/31/13,1/31/14,0,92,16.47829617
377,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000907729,6.56E-08,36.15703728,37.15321184,1/1/01,10/31/13,-4686,0,17.81339585
378,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.001136317,1.03E-07,36.15740304,37.15477554,1/1/01,10/31/13,-4686,0,22.29926804
379,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000880627,6.17E-08,36.15645175,37.1547869,1/1/01,10/31/13,-4686,0,17.28148725
380,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000673552,3.61E-08,36.157912,37.15465621,1/1/01,10/31/13,-4686,0,13.21793977
381,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.000919658,6.73E-08,36.15832899,37.14983604,1/1/01,10/31/13,-4686,0,18.04763041
382,Industrial Facility,Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.000995156,7.88E-08,36.18573422,37.1423693,1/31/14,2/6/14,92,98,19.53269622
383,Industrial Facility,Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.000901552,6.47E-08,36.18574598,37.14288081,1/31/14,2/6/14,92,98,17.69545349
384,Industrial Facility,Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Unknown / Uncertain,31JAN14-6FEB14,760,0.000980346,7.65E-08,36.18421512,37.14592395,1/31/14,2/6/14,92,98,19.24184306
385,Building (General / Default),Destroyed (bld),Medium,1/31/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),31OCT13-31JAN14,760,0.001311432,1.37E-07,36.24252273,37.15464856,10/31/13,1/31/14,0,92,25.74992447
386,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.001040202,8.61E-08,36.1969897,37.20454535,1/31/14,2/6/14,92,98,20.41828527
387,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.000959799,7.33E-08,36.19850661,37.20209907,1/31/14,2/6/14,92,98,18.84030002
388,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000705976,3.97E-08,36.20404053,37.20126721,2/6/14,2/20/14,98,112,13.85836157
389,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001075631,9.21E-08,36.19499786,37.20674053,2/6/14,2/20/14,98,112,21.11350873
390,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.00093681,6.98E-08,36.19500311,37.20719195,2/6/14,2/20/14,98,112,18.38859994
